ASTAP/CCDCIEL DEEPSKY DATABASE (extract from HNSKY database), 30000 objects. Based on SAC81, Wolfgang Steinicke's REV NGC&IC, Leda, Sh2,vdB,HCG,LND,PK.DWB, Barnard's DN. GX>=1_arcmin. IAU named stars included. GC of M31, M33 added. Version 2024-05-17.
RA[0..864000], DEC[-324000..324000], name(s), length [0.1 min], width[0.1 min], orientation[degrees]
542423,-195621,NGC5822,350
62394,222778,NGC654,60
658860,-43980,NGC6604,60
610289,-14756,M10/NGC6254,200
776072,-2962,M2/NGC7089,160
734460,138576,M29/NGC6913,100
137650,189558,NGC1444,40
402266,-216878,NGC3572,70
596450,-158563,NGC6169,120
314820,-148620,Cr197,170
604020,-169500,Hogg22,15
97560,221742,NGC1027/IC1824,150
126980,134556,NGC1342,170
216665,83944,NGC2129,60
256867,-38220,NGC2343,60
274267,-49937,NGC2423,120
382393,-211083,NGC3324,160,140
596749,-179179,NGC6167,70
678900,37200,NGC6709,150
862486,204172,NGC7789,250
633720,-120540,Tr27/Cr336,70
314880,-165480,Bochum7,200
386760,-214440,Cr232,40
107640,218040,Cr34,250
627720,87120,DoDz8,130
613577,-94563,M19/NGC6273,170
221786,73758,NGC2175,400,300
37943,-255052,NGC362,140
483290,-154858,NGC5128/PGC46957,257,200,35
633770,-161044,NGC6388,104
683732,-131872,NGC6723,130
706296,166952,NGC6811,150
587940,-197880,Cr299/Harvard10,250
402420,-217380,Hogg10,30
626920,-179796,IC4651,100
659980,-61566,M18/NGC6613,70
662729,-89530,M28/NGC6626,138
780220,-83443,M30/NGC7099,120
842880,221760,M52/NGC7654,160
318780,42540,M67/NGC2682,250
357335,248642,M81/NGC3031,249,115,157
148692,224394,NGC1502,200
276454,-114093,NGC2439,90
370568,-167078,NGC3201,200
457398,-226778,NGC4609,60
402840,-218340,Tr18/Cr241,120
271260,-61020,Bochum5,110
239220,24840,Cr111,32
707040,1260,Cr401,10
419450,-228396,IC2948,450,400
669000,260580,Kemble2,300
201313,-18963,M43/NGC1982,200,150
162990,157476,NGC1582,240
186460,59448,NGC1807,120
192050,141636,NGC1857,100
201048,-17035,NGC1973,50
201180,-16860,NGC1975,100,50
201180,-17355,NGC1977/Sh2-279,200
26160,222360,NGC225,150
299363,-107097,NGC2571,70
311431,-166418,NGC2645,30
658248,-71518,NGC6595/NGC6590,110
747420,110580,NGC6960/Veil_Nebula_west,700,60
753780,114270,NGC6992/Veil_Nebula_east/Sh2-103,600,80
754300,112440,NGC6995,120
770620,131352,NGC7063,90
431280,-232440,Ru98,100
212640,-3600,Sh2-276,6000,600,150
403860,-212100,Stock13,30
74700,231780,Stock5,150
386640,-213660,Tr15/Cr231,150
115140,227460,Tr3/Cr36/Harvard1,230
448380,-218820,Harvard5/Cr257,60
274500,-43440,Mel71/Cr155,90
89760,218340,Mrk6,45
188463,-144168,NGC1851,120
260703,-36957,NGC2353,180
283460,-95172,NGC2467
63770,220386,NGC663,150
709900,83880,NGC6823,70
756955,245410,NGC7023/vdB139,100,80
622380,-127980,Bochum13,150
256094,-36103,NGC2335,70
262631,-56309,NGC2360,140
28531,-91035,NGC253/PGC3085/ESO474-29,290,68,52
342290,-190490,NGC2910,60
447454,-261571,NGC4372,50
449952,-233242,NGC4463,60
592636,-176991,NGC6134,60
597508,-164328,NGC6178,50
605658,-193338,NGC6208,180
640200,-113508,NGC6425,100
642129,-133382,NGC6441,96
773570,169656,NGC7082,240
820410,209274,NGC7380,200
287400,-102900,Ru44,50
